"station","valid","tmpf","relh","solar","precip","speed","drct","et","soil04t","soil12t","soil24t","soil50t","soil12vwc","soil24vwc","soil50vwc"
"BOOI4","2022-05-17 00:00",61.1599999999999,49.5,0,0,4.293007,55.24,0.00141732283464567,71.4199999999999,63.4279999999999,57.9019999999999,51.332,37.1,23.5,26.9
"BOOI4","2022-05-17 01:00",58.9099999999999,53.22,0,0,1.9490032,64.2,-7.8740157480315e-05,69.6739999999999,63.6079999999999,57.9199999999999,51.3679999999999,37.1,23.5,26.9
"BOOI4","2022-05-17 02:00",58.0099999999999,55.9,0,0,2.471004,61.95,0.00015748031496063,68.198,63.7339999999999,57.9019999999999,51.422,37.1,23.4,26.9
"BOOI4","2022-05-17 03:00",60.7099999999999,46.82,0,0,3.4870057,100.9,0.000984251968503937,66.9019999999999,63.7519999999999,57.938,51.44,37.1,23.4,26.9
"BOOI4","2022-05-17 04:00",59.2159999999999,48.95,0,0,2.357004,132.9,0.000236220472440945,65.822,63.8239999999999,57.938,51.44,37.1,23.4,26.9
"BOOI4","2022-05-17 05:00",56.5519999999999,57.74,0,0,2.939005,53.7,0.000551181102362205,64.8859999999999,63.7519999999999,58.0279999999999,51.4939999999999,37.1,23.4,26.9
"BOOI4","2022-05-17 06:00",54.122,63.36,0,0,2.357004,16.85,-7.8740157480315e-05,64.0039999999999,63.7159999999999,58.046,51.4759999999999,37,23.4,26.9
"BOOI4","2022-05-17 07:00",54.2659999999999,63.34,4093.2,0,4.292007,21.08,0.0031496062992126,63.2119999999999,63.6079999999999,58.082,51.5119999999999,37,23.4,26.9
"BOOI4","2022-05-17 08:00",54.8419999999999,64.92,118188,0,3.026005,59.83,0.00255905511811024,62.5999999999999,63.464,58.1179999999999,51.548,37,23.3,26.9
"BOOI4","2022-05-17 09:00",62.5099999999999,47.47,640440,0,6.2620106,85.6,0.00838582677165354,62.4739999999999,63.3199999999999,58.1539999999999,51.53,37,23.3,26.9
"BOOI4","2022-05-17 10:00",64.94,43.71,874800,0,9.530016,90.9,0.0145669291338583,63.338,63.1579999999999,58.172,51.566,37,23.3,26.9
"BOOI4","2022-05-17 11:00",67.8919999999999,42.93,882000,0,8.240013,98.1,0.0142913385826772,64.238,62.996,58.2259999999999,51.5839999999999,36.9,23.2,26.9
"BOOI4","2022-05-17 12:00",69.9079999999999,38.97,1413000,0,9.9700165,108.1,0.0196456692913386,65.5519999999999,62.816,58.2079999999999,51.6199999999999,36.9,23.2,26.9
